Ticker,Name,Sector,Industry,MarketCap,Country,Website,Employees
AAPL,Apple Inc.,Technology,Consumer Electronics,3888777003008,United States,https://www.apple.com,150000.0
MSFT,Microsoft Corporation,Technology,Software - Infrastructure,2952363507712,United States,https://www.microsoft.com,228000.0
AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,2255514238976,United States,https://www.amazon.com,1576000.0
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,3810313371648,United States,https://abc.xyz,190820.0
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1658528202752,United States,https://www.meta.com,78865.0
BRK-B,Berkshire Hathaway Inc.,Financial Services,Insurance - Diversified,1074784239616,United States,https://www.berkshirehathaway.com,392400.0
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers - General,584376451072,United States,https://www.jnj.com,138200.0
V,Visa Inc.,Financial Services,Credit Services,618804346880,United States,https://www.visa.com,
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,376303222784,United States,https://www.pginvestor.com,109000.0
JPM,JPMorgan Chase & Co.,Financial Services,Banks - Diversified,846051934208,United States,https://www.jpmorganchase.com,318512.0
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,262693191680,United States,https://www.unitedhealthgroup.com,
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,380534259712,United States,https://www.homedepot.com,470000.0
DIS,The Walt Disney Company,Communication Services,Entertainment,187234205696,United States,https://thewaltdisneycompany.com,175560.0
MA,Mastercard Incorporated,Financial Services,Credit Services,469788098560,United States,https://www.mastercard.com,39800.0
BAC,Bank of America Corporation,Financial Services,Banks - Diversified,387470426112,United States,https://www.bankofamerica.com,213207.0
NVDA,NVIDIA Corporation,Technology,Semiconductors,4621547864064,United States,https://www.nvidia.com,36000.0
ADBE,Adobe Inc.,Technology,Software - Application,108254142464,United States,https://www.adobe.com,31360.0
CRM,"Salesforce, Inc.",Technology,Software - Application,176272326656,United States,https://www.salesforce.com,76453.0
NFLX,"Netflix, Inc.",Communication Services,Entertainment,333709443072,United States,https://www.netflix.com,16000.0
KO,The Coca-Cola Company,Consumer Defensive,Beverages - Non-Alcoholic,343440457728,United States,https://www.coca-colacompany.com,
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers - General,151524114432,United States,https://www.pfizer.com,
TMO,Thermo Fisher Scientific Inc.,Healthcare,Diagnostics & Research,191960514560,United States,https://www.thermofisher.com,
ABT,Abbott Laboratories,Healthcare,Medical Devices,195296903168,United States,https://www.abbott.com,115000.0
ACN,Accenture plc,Technology,Information Technology Services,133546909696,Ireland,https://www.accenture.com,784000.0
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,96817070080,United States,https://www.nike.com,77800.0
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers - General,305378983936,United States,https://www.merck.com,
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,312926666752,United States,https://www.cisco.com,86200.0
PEP,"PepsiCo, Inc.",Consumer Defensive,Beverages - Non-Alcoholic,225529085952,United States,https://www.pepsico.com,306000.0
COST,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,437418196992,United States,https://www.costco.com,341000.0
TMUS,"T-Mobile US, Inc.",Communication Services,Telecom Services,240993452032,United States,https://www.t-mobile.com,75000.0
LIN,Linde plc,Basic Materials,Specialty Chemicals,232818278400,United Kingdom,https://www.linde.com,
C,Citigroup Inc.,Financial Services,Banks - Diversified,207554871296,United States,https://www.citigroup.com,226000.0
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,980580958208,United States,https://www.walmart.com,2100000.0
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,367741108224,United States,https://www.chevron.com,
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,621104136192,United States,https://corporate.exxonmobil.com,57900.0
ABBV,AbbVie Inc.,Healthcare,Drug Manufacturers - General,397325729792,United States,https://www.abbvie.com,
AVGO,Broadcom Inc.,Technology,Semiconductors,1577184657408,United States,https://www.broadcom.com,33000.0
